Timestamp (ms),Temperature (°C)
2065419.0,48.03
2065725.0,48.04
2066031.0,48.04
2066337.0,48.02
2066643.0,48.01
2066949.0,48.02
2067255.0,48.03
2067561.0,48.02
2067867.0,48.02
2068173.0,48.02
2068479.0,48.02
2068785.0,48.01
2069091.0,48.02
2069397.0,48.01
2069703.0,48.02
2070009.0,48.02
2070315.0,48.02
2070621.0,48.01
2070927.0,48.02
2071233.0,48.02
2071539.0,48.01
2071845.0,48.02
2072151.0,48.02
2072457.0,48.01
2072763.0,48.02
2073069.0,48.01
2073375.0,48.01
2073681.0,48.01
2073987.0,48.01
2074293.0,48.01
2074599.0,48.01
2074905.0,48.0
2075211.0,48.02
2075517.0,48.02
2075823.0,48.02
2076129.0,48.02
2076435.0,48.02
2076741.0,48.02
2077047.0,48.02
2077353.0,48.02
2077659.0,48.03
2077965.0,48.02
2078271.0,48.02
2078577.0,48.02
2078883.0,48.02
2079189.0,48.03
2079495.0,48.02
2079801.0,48.02
2080107.0,48.04
2080413.0,48.02
2080719.0,48.03
2081025.0,48.03
2081331.0,48.04
2081637.0,48.02
2081943.0,48.03
2082249.0,48.03
2082555.0,48.02
2082861.0,48.03
2083167.0,48.04
2083473.0,48.03
2083779.0,48.02
2084085.0,48.04
2084391.0,48.03
2084697.0,48.02
2085003.0,48.04
2085309.0,48.03
2085615.0,48.03
2085921.0,48.04
2086227.0,48.02
2086533.0,48.02
2086839.0,48.02
2087145.0,48.02
2087451.0,48.01
2087757.0,48.02
2088063.0,48.01
2088369.0,48.01
2088675.0,48.02
2088981.0,48.02
2089287.0,48.01
2089593.0,48.01
2089899.0,48.0
2090205.0,48.01
2090511.0,48.01
2090817.0,48.01
2091123.0,48.0
2091429.0,48.01
2091735.0,48.02
2092041.0,48.01
2092347.0,48.01
2092653.0,48.01
2092959.0,48.01
2093265.0,48.01
2093571.0,48.01
2093877.0,48.01
2094183.0,48.02
2094489.0,48.01
2094795.0,48.01
2095101.0,48.02
2095407.0,48.01
2095713.0,48.02
2096019.0,48.01
2096325.0,48.02
2096631.0,48.02
2096937.0,48.02
2097243.0,48.02
2097549.0,48.04
2097855.0,48.03
2098161.0,48.04
2098467.0,48.04
2098773.0,48.05
2099079.0,48.04
2099385.0,48.03
2099691.0,48.04
2099997.0,48.05
2100303.0,48.04
2100609.0,48.04
2100915.0,48.05
2101221.0,48.05
2101527.0,48.05
2101833.0,48.06
2102139.0,48.05
2102445.0,48.06
2102751.0,48.06
2103057.0,48.05
2103363.0,48.05
2103669.0,48.05
2103975.0,48.06
2104281.0,48.05
2104587.0,48.06
2104893.0,48.06
2105199.0,48.07
2105505.0,48.06
2105811.0,48.06
2106117.0,48.06
2106423.0,48.07
2106729.0,48.06
2107035.0,48.07
2107341.0,48.07
2107647.0,48.07
2107953.0,48.06
2108259.0,48.07
2108565.0,48.08
2108871.0,48.08
2109177.0,48.07
2109483.0,48.08
2109789.0,48.08
2110095.0,48.08
2110401.0,48.08
2110707.0,48.07
2111013.0,48.09
2111319.0,48.09
2111625.0,48.09
2111931.0,48.09
2112237.0,48.09
2112543.0,48.09
2112849.0,48.08
2113155.0,48.08
2113461.0,48.08
2113767.0,48.08
2114073.0,48.09
2114379.0,48.09
2114685.0,48.08
2114991.0,48.08
2115297.0,48.08
2115603.0,48.09
2115909.0,48.09
2116215.0,48.1
2116521.0,48.07
2116827.0,48.09
2117133.0,48.09
2117439.0,48.09
2117745.0,48.09
2118051.0,48.1
2118357.0,48.1
2118663.0,48.1
2118969.0,48.1
2119275.0,48.09
2119581.0,48.09
2119887.0,48.1
2120193.0,48.1
2120499.0,48.1
2120805.0,48.1
2121111.0,48.11
2121417.0,48.1
2121723.0,48.1
2122029.0,48.1
2122335.0,48.11
2122641.0,48.11
2122947.0,48.11
2123253.0,48.11
2123559.0,48.1
2123865.0,48.11
2124171.0,48.07
2124477.0,48.1
2124783.0,48.11
2125089.0,48.11
2125395.0,48.12
2125701.0,48.12
2126007.0,48.12
2126313.0,48.12
2126619.0,48.11
2126925.0,48.11
2127231.0,48.12
2127537.0,48.11
2127843.0,48.12
2128149.0,48.12
2128455.0,48.12
2128761.0,48.13
2129067.0,48.13
2129373.0,48.12
2129679.0,48.13
2129985.0,48.14
2130291.0,48.13
2130597.0,48.14
2130903.0,48.12
2131209.0,48.13
2131515.0,48.13
2131821.0,48.13
2132127.0,48.13
2132433.0,48.13
2132739.0,48.13
2133045.0,48.14
2133351.0,48.15
2133657.0,48.13
2133963.0,48.14
2134269.0,48.15
2134575.0,48.14
2134881.0,48.15
2135187.0,48.16
2135493.0,48.15
2135799.0,48.15
2136105.0,48.16
2136411.0,48.16
2136717.0,48.14
2137023.0,48.14
2137329.0,48.16
2137635.0,48.15
2137941.0,48.15
2138247.0,48.15
2138553.0,48.15
2138859.0,48.15
2139165.0,48.14
2139471.0,48.16
2139777.0,48.16
2140083.0,48.16
2140389.0,48.16
2140695.0,48.16
2141001.0,48.17
2141307.0,48.17
2141613.0,48.17
2141919.0,48.17
2142225.0,48.17
2142531.0,48.17
2142837.0,48.17
2143143.0,48.16
2143449.0,48.16
2143755.0,48.17
2144061.0,48.16
2144367.0,48.17
2144673.0,48.16
2144979.0,48.16
2145285.0,48.17
2145591.0,48.17
2145897.0,48.17
2146203.0,48.17
2146509.0,48.16
2146815.0,48.16
2147121.0,48.16
2147427.0,48.16
2147733.0,48.17
2148039.0,48.17
2148345.0,48.17
2148651.0,48.17
2148957.0,48.17
2149263.0,48.16
2149569.0,48.17
2149875.0,48.17
2150181.0,48.17
2150487.0,48.17
2150793.0,48.17
2151099.0,48.17
2151405.0,48.17
2151711.0,48.17
2152017.0,48.16
2152323.0,48.16
2152629.0,48.15
2152935.0,48.17
2153241.0,48.17
2153547.0,48.17
2153853.0,48.16
2154159.0,48.15
2154465.0,48.15
2154771.0,48.16
2155077.0,48.15
2155383.0,48.16
2155689.0,48.16
2155995.0,48.14
2156301.0,48.14
2156607.0,48.14
2156913.0,48.14
2157219.0,48.14
2157525.0,48.14
2157831.0,48.14
2158137.0,48.13
2158443.0,48.13
2158749.0,48.13
2159055.0,48.12
2159361.0,48.12
2159667.0,48.12
2159973.0,48.11
2160279.0,48.11
2160585.0,48.11
2160891.0,48.1
2161197.0,48.11
2161503.0,48.1
2161809.0,48.11
2162115.0,48.1
2162421.0,48.11
2162727.0,48.1
2163033.0,48.09
2163339.0,48.1
2163645.0,48.09
2163951.0,48.09
2164257.0,48.09
2164563.0,48.09
2164869.0,48.09
2165175.0,48.09
2165481.0,48.08
2165787.0,48.08
2166093.0,48.08
2166399.0,48.07
2166705.0,48.06
2167011.0,48.07
2167317.0,48.07
2167623.0,48.07
2167929.0,48.07
2168235.0,48.07
2168541.0,48.07
2168847.0,48.06
2169153.0,48.06
2169459.0,48.07
2169765.0,48.06
2170071.0,48.05
2170377.0,48.06
2170683.0,48.05
2170989.0,48.06
2171295.0,48.07
2171601.0,48.06
2171907.0,48.06
2172213.0,48.05
2172519.0,48.05
2172825.0,48.05
2173131.0,48.05
2173437.0,48.06
2173743.0,48.06
2174049.0,48.06
2174355.0,48.05
2174661.0,48.07
2174967.0,48.06
2175273.0,48.07
2175579.0,48.06
2175885.0,48.07
2176191.0,48.06
2176497.0,48.06
2176803.0,48.05
2177109.0,48.07
2177415.0,48.07
2177721.0,48.06
2178027.0,48.07
2178333.0,48.07
2178639.0,48.07
2178945.0,48.08
2179251.0,48.08
2179557.0,48.07
2179863.0,48.07
2180169.0,48.08
2180475.0,48.09
2180781.0,48.08
2181087.0,48.07
2181393.0,48.09
2181699.0,48.09
2182005.0,48.08
2182311.0,48.08
2182617.0,48.08
2182923.0,48.08
2183229.0,48.08
2183535.0,48.08
2183841.0,48.08
